Product,Kcal,Protein_g,Fat_g
CEPHALOPODS CURED,341.0,61.6,6.2
CEPHALOPODS CANNED,137.0,20.8,2.8
CEPHALOPODS PREPARED NES,130.0,20.8,1.5
AQUATIC MAMMALS MEAT,136.0,21.0,5.0
AQUATIC MAMMALS PREPARED NES,156.0,20.6,7.5
AQUATIC ANIMALS NES FRESH,30.0,4.0,0.2
AQUATIC ANIMALS NES CURED,33.0,5.5,0.1
AQUATIC ANIMALS PREPARED NES,168.0,11.5,3.8
AQUATIC PLANTS,54.0,2.8,0.6
AQUATIC PLANTS DRIED,215.0,16.4,0.9
AQUATIC PLANTS PREPARED NES,312.0,1.3,1.2
"COW MILK, WHOLE FRESH",61.0,3.3,3.3
STANDARDIZED MILK,48.0,3.3,1.5
"CREAM, FRESH",195.0,2.7,19.3
WHOLE COW MILK EVAPORATED,134.0,6.8,7.6
WHOLE COW MILK CONDENSED,321.0,7.9,8.7
WHOLE COW MILK DRY,496.0,26.3,26.7
SKIM MILK OF COWS,35.0,3.4,0.2
SKIM MILK EVAPORATED,78.0,7.6,0.2
SKIM MILK CONDENSED,271.0,10.0,0.2
SKIM MILK DRY,362.0,36.2,0.8
BUTTERMILK CURDLED,75.0,3.0,5.2
BUTTERMILK DRY,387.0,34.3,5.8
YOGHURT,61.0,3.5,3.3
YOGHURT CONCENTRATED,82.0,4.7,1.5
RECONSTITUTED MILK,61.0,1.8,3.4
CHEESE WHOLE COW MILK,387.0,25.0,31.0
CHEESE SKIM COW MILK,247.0,46.0,4.0
WHEY CHEESE,72.0,12.4,1.0
PROCESSED CHEESE,103.0,12.5,4.5
WHEY FRESH,26.0,0.8,0.2
WHEY CONDENSED,26.0,0.9,0.3
WHEY DRY,346.0,12.3,0.8
CASEIN,427.0,100.0,0.0
BUFFALO MILK,97.0,3.8,6.9
SKIM MILK OF BUFFALO,41.0,4.3,0.1
CHEESE BUFFALO MILK,269.0,16.9,22.0
SHEEP MILK,94.0,5.9,6.0
CHEESE SHEEP MILK,310.0,23.2,22.8
SKIM MILK OF SHEEP,48.0,6.1,0.4
GOAT MILK,69.0,3.6,4.1
CAMEL MILK,73.0,3.8,4.5
OIL OF RICE BRAN,884.0,0.0,100.0
OIL OF MAIZE,884.0,0.0,100.0
OIL OF SOYABEANS,884.0,0.0,100.0
OIL OF GROUNDNUTS,884.0,0.0,100.0
OIL OF COCONUTS,884.0,0.0,100.0
PALM OIL,884.0,0.0,100.0
OIL OF PALM KERNELS,884.0,0.0,100.0
OLIVE OIL,884.0,0.0,100.0
BUTTER OF KARITE NUTS,711.0,0.0,85.0
OIL OF CASTOR BEANS,884.0,0.0,100.0
OIL OF SUNFLOWER SEED,884.0,0.0,100.0
OIL OF RAPESEED,884.0,0.0,100.0
OIL OF OLIVE RESIDUES,884.0,0.0,100.0
TUNG OIL,884.0,0.0,100.0
OIL OF SAFFLOWER,884.0,0.0,100.0
OIL OF SESAME SEED,884.0,0.0,100.0
OIL OF MUSTARD SEED,884.0,0.0,100.0
OIL OF POPPY SEED,884.0,0.0,100.0
STILLINGIA OIL,884.0,0.0,100.0
OIL OF KAPOK,884.0,0.0,100.0
OIL OF COTTON SEED,884.0,0.0,100.0
OIL OF LINSEED,884.0,0.0,100.0
OIL OF HEMPSEED,884.0,0.0,100.0
OIL OF VEGETABLE ORIGIN NES,884.0,0.0,100.0
MARGARINE,720.0,0.6,81.0
OILS BOILED,902.0,0.0,100.0
OILS HYDROGENATED,720.0,0.6,81.0
FAT OF CATTLE,847.0,2.0,93.0
CATTLE BUTCHER FAT,847.0,2.0,93.0
BUTTER OF COW MILK,717.0,0.9,81.1
GHEE FROM COW MILK,873.0,0.3,99.1
FAT OF BUFFALO,847.0,2.0,93.0
BUTTER OF BUFFALO MILK,717.0,0.9,81.1
GHEE FROM BUFFALO MILK,873.0,0.3,99.1
FAT OF SHEEP,902.0,0.0,100.0
BUTTER OF SHEEP MILK,716.0,0.6,81.0
FAT OF PIGS,712.0,4.7,76.7
PIG BUTCHER FAT,712.0,4.7,76.7
LARD,902.0,0.0,100.0
FAT OF POULTRY,629.0,3.7,68.0
FAT OF POULTRY RENDERED,901.0,0.0,99.8
FAT OF CAMELS,847.0,2.0,93.0
FAT OF OTHER CAMELIDS,847.0,2.0,93.0
ANIMAL OILS AND FATS NES,902.0,0.0,100.0
TALLOW,884.0,0.0,100.0
FATS PREPARATION NES,720.0,0.6,81.0
FRESHWATER DIADROMOUS FISH BODY OIL,902.0,0.0,100.0
FRESHWATER DIADROMOUS FISH LIVER OIL,902.0,0.0,100.0
DEMERSAL FISH BODY OIL,902.0,0.0,100.0
DEMERSAL FISH LIVER OIL,902.0,0.0,100.0
PELAGIC FISH BODY OIL,902.0,0.0,100.0
PELAGIC FISH LIVER OIL,902.0,0.0,100.0
MARINE FISH NES BODY OIL,902.0,0.0,100.0
MARINE FISH L221NES LIVER OIL,902.0,0.0,100.0
AQUATIC MAMMALS OILS,902.0,0.0,100.0
INFANT FOOD,368.0,15.2,2.9
BEVERAGES NON-ALCOHOLIC,39.0,0.0,0.0
ICE CREAM,149.0,2.0,6.7
FOOD PREPARATIONS,41.0,1.2,0.5
